"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\jcall\navigeniusbeta\.prettierrc", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\jcall\navigeniusbeta\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\jcall\navigeniusbeta\backend\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\jcall\navigeniusbeta\backend\render.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\jcall\navigeniusbeta\backend\server.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 1, 15, 99
"c:\Users\jcall\navigeniusbeta\package-lock.json", "JSON", 0, 0, 36424, 0, 0, 0, 0, 0, 1, 36425
"c:\Users\jcall\navigeniusbeta\package.json", "JSON", 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"c:\Users\jcall\navigeniusbeta\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jcall\navigeniusbeta\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\jcall\navigeniusbeta\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\jcall\navigeniusbeta\src\App.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\jcall\navigeniusbeta\src\components\auth\forgot\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 1, 7, 61
"c:\Users\jcall\navigeniusbeta\src\components\auth\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 258, 1, 17, 276
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\complete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 11, 126
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 245, 0, 21, 266
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\verifyemail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 3, 33
"c:\Users\jcall\navigeniusbeta\src\components\auth\terms\TermsConditions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 17, 179
"c:\Users\jcall\navigeniusbeta\src\components\auth\verify\verified.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\jcall\navigeniusbeta\src\components\header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 6, 80
"c:\Users\jcall\navigeniusbeta\src\components\home\Coordinates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 7, 78
"c:\Users\jcall\navigeniusbeta\src\components\home\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\jcall\navigeniusbeta\src\components\home\Fmap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 29, 211
"c:\Users\jcall\navigeniusbeta\src\components\home\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 18, 175
"c:\Users\jcall\navigeniusbeta\src\components\home\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\jcall\navigeniusbeta\src\components\main\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 8, 60
"c:\Users\jcall\navigeniusbeta\src\components\main\notfound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\jcall\navigeniusbeta\src\components\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 581, 1, 38, 620
"c:\Users\jcall\navigeniusbeta\src\components\profile\modal\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 1, 7, 107
"c:\Users\jcall\navigeniusbeta\src\components\sms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"c:\Users\jcall\navigeniusbeta\src\contexts\authContext\PrivateRoute.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\jcall\navigeniusbeta\src\contexts\authContext\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 14, 143
"c:\Users\jcall\navigeniusbeta\src\firebase\auth.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 2, 19, 149
"c:\Users\jcall\navigeniusbeta\src\firebase\firebase.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\jcall\navigeniusbeta\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\jcall\navigeniusbeta\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\jcall\navigeniusbeta\tailwind.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\Users\jcall\navigeniusbeta\webpack.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"Total", "-", 371, 38, 36565, 4, 3, 20, 2297, 31, 322, 39651
