"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "JSON", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\jcall\navigeniusbeta\.prettierrc", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\jcall\navigeniusbeta\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\jcall\navigeniusbeta\backend\package-lock.json", "JSON", 0, 0, 0, 1137, 0, 0, 0, 0, 1, 1138
"c:\Users\jcall\navigeniusbeta\backend\package.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\jcall\navigeniusbeta\backend\render.yaml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\jcall\navigeniusbeta\backend\server.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 1, 15, 100
"c:\Users\jcall\navigeniusbeta\emergency-backend\package-lock.json", "JSON", 0, 0, 0, 4800, 0, 0, 0, 0, 1, 4801
"c:\Users\jcall\navigeniusbeta\emergency-backend\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\jcall\navigeniusbeta\emergency-backend\server.js", "JavaScript", 267, 0, 0, 0, 0, 0, 0, 18, 36, 321
"c:\Users\jcall\navigeniusbeta\package-lock.json", "JSON", 0, 0, 0, 36424, 0, 0, 0, 0, 1, 36425
"c:\Users\jcall\navigeniusbeta\package.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 1, 91
"c:\Users\jcall\navigeniusbeta\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jcall\navigeniusbeta\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\jcall\navigeniusbeta\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\jcall\navigeniusbeta\src\App.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\jcall\navigeniusbeta\src\components\DeviceEntry\index.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\jcall\navigeniusbeta\src\components\auth\forgot\index.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 1, 7, 61
"c:\Users\jcall\navigeniusbeta\src\components\auth\login\index.jsx", "JavaScript JSX", 0, 0, 253, 0, 0, 0, 0, 3, 19, 275
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\complete.jsx", "JavaScript JSX", 0, 0, 135, 0, 0, 0, 0, 0, 17, 152
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\index.jsx", "JavaScript JSX", 0, 0, 245, 0, 0, 0, 0, 0, 21, 266
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\verifyemail.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
